TIPO_REG,U_DPTO,U_MPIO,UA_CLASE,COD_ENCUESTAS,U_VIVIENDA,F_NROHOG,FA1_NRO_FALL,FA2_SEXO_FALL,FA3_EDAD_FALL,FA4_CERT_DEFUN
3,13,001,1,37015,1,1,1,1,86,1
3,13,001,1,37115,8,1,1,2,0,2
3,13,001,1,37115,8,1,2,1,0,2
3,13,001,1,37115,8,1,3,1,0,2
3,13,001,1,37115,8,1,4,1,0,9
3,13,001,1,37173,1,1,1,2,13,9
3,13,001,1,37194,1,1,1,1,83,9
3,13,001,1,37194,1,1,2,2,82,9
3,13,001,1,37243,1,1,1,2,102,1
3,13,001,1,37273,1,1,1,1,93,1
3,13,001,1,37304,3,1,1,1,0,1
3,13,001,1,37392,1,1,1,1,70,1
3,13,001,1,37415,1,1,1,1,0,2
3,13,001,1,37422,2,1,1,2,0,9
3,13,001,1,37434,1,1,1,1,59,1
3,13,001,1,37487,1,1,1,2,74,2
3,13,001,1,37535,5,1,1,2,11,1
3,13,001,1,37540,1,2,1,2,104,1
3,13,001,1,37627,1,1,1,1,18,1
3,13,001,1,37642,1,1,1,1,8,1
3,13,001,1,37652,1,2,1,2,60,9
3,13,001,1,37757,1,1,1,1,15,1
3,13,001,1,37765,1,1,1,1,67,1
3,13,001,1,37772,1,1,1,1,29,1
3,13,001,1,37961,8,1,1,1,67,1
3,13,001,1,38018,5,1,1,1,49,1
3,13,001,1,38072,1,1,1,1,84,1
3,13,001,1,38124,1,1,1,1,60,1
3,13,001,1,38187,5,1,1,1,94,1
3,13,001,1,38321,3,1,1,1,62,1
3,13,001,1,38322,1,1,1,1,56,1
3,13,001,1,38378,1,1,1,1,56,1
3,13,001,1,38385,3,1,1,1,56,1
3,13,001,1,38589,19,1,1,1,80,1
3,13,001,1,38597,8,1,1,2,88,1
3,13,001,1,38600,18,1,1,1,20,1
3,13,001,1,38634,2,1,1,1,38,1
3,13,001,1,38734,12,1,1,1,32,1
3,13,001,1,38792,1,1,1,1,95,9
3,13,001,1,39065,7,1,1,1,17,2
3,13,001,1,39171,1,1,1,2,80,1
3,13,001,1,42312,6,1,1,2,25,2
3,13,001,1,55749,1,1,1,1,66,9
3,13,001,1,55749,1,1,2,2,96,9
3,13,001,1,55749,1,2,1,1,75,9
3,13,001,1,55749,1,2,2,2,96,9
3,13,001,1,57493,1,1,1,1,77,1
3,13,001,1,58139,1,2,1,1,87,1
3,13,001,1,58147,2,2,1,2,88,2
3,13,001,1,58364,1,1,1,2,75,1
3,13,001,1,58462,1,2,1,1,72,1
3,13,001,1,59136,1,1,1,2,93,1
3,13,001,1,59150,1,1,1,1,0,9
3,13,001,1,59150,1,1,2,2,0,9
3,13,001,1,59150,1,1,3,1,45,9
3,13,001,1,59182,2,1,1,1,92,1
3,13,001,1,59532,1,1,1,1,37,1
3,13,001,1,63044,2,1,1,2,76,9
3,13,001,1,63062,1,1,1,2,76,9
3,13,001,1,63117,2,1,1,2,85,1
3,13,001,1,77076,3,1,1,2,78,9
3,13,001,1,77078,3,1,1,2,81,1
3,13,001,1,98036,1,1,1,1,28,9
3,13,001,1,98064,2,1,1,1,72,1
3,13,001,1,98066,1,1,1,1,78,1
3,13,001,1,98093,1,1,1,2,92,1
3,13,001,1,98153,6,1,1,1,70,1
3,13,001,1,98174,60,1,1,2,76,1
3,13,001,1,98200,61,1,1,1,67,1
3,13,001,1,99040,2,1,1,2,89,1
3,13,001,1,99168,1,1,1,2,101,1
3,13,001,1,100845,1,1,1,2,63,1
